Category,Description,Abbr
Dining and Drinking,"Eating and drinking establishments, restaurants, bars, taverns, and pubs, restaurant guides and reviews.",DINE
DIY Projects,"Guidance and information to create, improve, modify, decorate and repair something without the aid of experts or professionals.",DIY
DNS over HTTPS (DoH) and DNS over TLS (Transport Layer Security),"Encrypted DNS requests using either the DNS over HTTPS (DoH) protocol or the DNS over TLS protocol. These protocols are typically used as a layer of security and privacy by end-users, but the encryption hides the destination of the request and passes it through a third-party.",DOHTLS
Dynamic and Residential,"IP addresses of broadband links that usually indicates users attempting to access their home network, for example for a remote session to a home computer.",DYNRES
Education,"Education-related, such as schools, colleges, universities, teaching materials, and teachers' resources, technical and vocational training, online training, education issues and policies, financial aid, school funding, standards and testing.",EDU
Entertainment,"Details or discussion of films, music and bands, television, celebrities and fan websites, entertainment news, celebrity gossip, entertainment venues. Compare the Arts category.",ENT
Extreme,"Material of a sexually violent or criminal nature, violence and violent behavior, tasteless, often gory photographs, such as autopsy photos, photos of crime scenes, crime and accident victims, excessive obscene material, shock websites.",EXTRM
Fashion,"Clothing and fashion, hair salons, cosmetics, accessories, jewelry, perfume, pictures and text relating to body modification, tattoos and piercing, modeling agencies. Dermatological products are classified as Health and Medicine.",FASH
File Transfer Services,File transfer services with the primary purpose of providing download services and hosted file sharing.,FTS
Filter Avoidance,"Promoting and aiding undetectable and anonymous web usage, including cgi, php and glype anonymous proxy services.",FLTAV
Finance,"Primarily financial in nature, such as accounting practices and accountants, taxation, taxes, banking, insurance, investing, the national economy, personal finance involving insurance of all types, credit cards, retirement and estate planning, loans, mortgages. Stock and shares are classified as Online Trading.",FIN
Freeware and Shareware,Providing downloads of free and shareware software.,FRSW
Gambling,"Casinos and online gambling, bookmakers and odds, gambling advice, competitive racing in a gambling context, sports booking, sports gambling, services for spread betting on stocks and shares. Websites dealing with gambling addiction are classified as Health and Medicine. Government-run lotteries are classified as Lotteries.",GAMB
Games,"Various card games, board games, word games, and video games, combat games, sports games, downloadable games, game reviews, cheat sheets, computer games and Internet games, such as role-playing games.",GAME
Government and Law,"Government websites, foreign relations, news and information relating to government and elections, information relating to the field of law, such as attorneys, law firms, law publications, legal reference material, courts, dockets, and legal associations, legislation and court decisions, civil rights issues, immigration, patents and copyrights, information relating to law enforcement and correctional systems, crime reporting, law enforcement, and crime statistics.",GOVLAW
Hacking,"Discussing ways to bypass the security of websites, software, and computers.",HACK
Hate Speech,"Websites promoting hatred, intolerance, or discrimination on the basis of social group, color, religion, sexual orientation, disability, class, ethnicity, nationality, age, gender, gender identity, sites promoting racism, sexism, racist theology, hate music, neo-Nazi organizations, supremacism, Holocaust denial.",HATE
Health and Medicine,"Health care; diseases and disabilities; medical care; hospitals; doctors; medicinal drugs; mental health; psychiatry; pharmacology; exercise and fitness; physical disabilities; vitamins and supplements; sex in the context of health (disease and health care); tobacco use, alcohol use, drug use, and gambling in the context of health (disease and health care).",HLTHMED
Humor,"Jokes, sketches, comics and other humorous content. Adult humor likely to offend is classified as Adult.",HUMR
Hunting,"Professional or sport hunting, gun clubs and other hunting related sites.",HUNT
Illegal Activities,"Promoting crime, such as stealing, fraud, illegally accessing telephone networks, computer viruses, bombs, and anarchy, websites depicting murder and suicide as well as explaining ways to commit them.",ILAC
Illegal Downloads,"Providing the ability to download software or other materials, serial numbers, key generators, and tools for bypassing software protection in violation of copyright agreements. Torrents are classified as Peer File Transfer.",ILDL
Illegal Drugs,"Information about recreational drugs, drug paraphernalia, drug purchase and manufacture.",ILDRG
Infrastructure and Content Delivery Networks,"Content delivery infrastructure and dynamically generated content, websites that cannot be classified more specifically because they are secured or otherwise difficult to classify.",ICDN
Internet of Things,"Domains used to monitor the general health, activity, or aid in the configuration of Internet of Things (IoT) and other network-aware electronics. Additionally these sites may provide software or firmware updates or allow remote access to administer the device. IoT exists in both consumer and professional segments, in products such as printers, televisions, thermostats, system monitoring, automation, and smart appliances.",IOT
Internet Telephony,Telephonic services using the internet.,ITEL
Job Search,"Career advice, resume writing and interviewing skills, job placement services, job databanks, permanent and temporary employment agencies, employer websites.",JOBS
Lingerie and Swimsuits,"Intimate apparel and swimwear, especially when modeled.",LING
Lotteries,"Sweepstakes, contests, and state-sponsored lotteries.",LOTT
Military,"Military, such as the armed forces, military bases, military organizations, anti-terrorism.",MIL
Mobile Phones,Short Message Services (SMS); ringtones and mobile phone downloads. Cellular carrier websites are included in the Business and Industry category.,MOBPH
Museums,"Museums and exhibits, both online and physical, dedicated to preserving information regarding subjects that could be of general interest or highly specialized. Subjects could range from art, history, science, or be of cultural importance.",MUS
Nature and Conservation,"Sites related to natural resources; ecology and conservation; forests; wilderness; plants; flowers; forest conservation; forest, wilderness, and forestry practices; forest management (reforestation, forest protection, conservation, harvesting, forest health, thinning, and prescribed burning); agricultural practices (agriculture, gardening, horticulture, landscaping, planting, weed control, irrigation, pruning, and harvesting); pollution issues (air quality, hazardous waste, pollution prevention, recycling, waste management, water quality, and the environmental cleanup industry).",NATCON
News,"News, headlines, newspapers, television stations, magazines, weather, ski conditions.",NEWS
Non-governmental Organizations,"Non-governmental organizations such as clubs, lobbies, communities, non-profit organizations and labor unions.",NGO
Non-sexual Nudity,"Nudism and nudity, naturism, nudist camps, artistic nudes.",NSNUD
Not Actionable,Sites that have been inspected but are unreachable or do not have enough content to be assigned a category.,NA
Online Communities,"Affinity groups, special interest groups, web newsgroups, message boards. Excludes websites classified as Professional Networking or Social Networking.",OLCOM
Online Document Sharing and Collaboration,"Cloud-based software used to create, convert, or edit documents. Collaboration and sharing features may be available with access permissions typically configured by the author. Documents may be stored online or available to download.",ODSC
Online Meetings,"Online meetings, desktop sharing, remote access and other tools that facilitate multi-location collaboration.",OLMTG
Online Storage and Backup,"Offsite and peer-to-peer storage for backup, sharing, and hosting.",OLSB
Online Trading,"Online brokerages, websites that enable the user to trade stocks online, information relating to the stock market, stocks, bonds, mutual funds, brokers, stock analysis and commentary, stock screens, stock charts, IPOs, stock splits. Services for spread betting on stocks and shares are classified as Gambling. Other financial services are classified as Finance.",OLTRD
Organizational Email,Websites used to access business email (often via Outlook Web Access).,ORGEM
Paranormal,"UFOs, ghosts, cryptid, telekenesis, urban legends and myths.",PARA
Parked Domains,"Websites that monetize traffic from the domain using paid listings from an ad network, or are owned by 'squatters' hoping to sell the domain name for a profit. These also include fake search websites which return paid ad links.",PKDOM
Peer File Transfer,Peer-to-peer file request websites. This does not track the file transfers themselves.,PFT
Personal Sites,"Websites about and from private individuals, personal homepage servers, websites with personal contents, personal blogs with no particular theme.",PERS
Personal VPN,"Virtual private network (VPN) sites or tools that are typically for personal use, and may or may not be approved for corporate usage.",PVPN
Photo Search and Images,"Facilitating the storing and searching for images, photographs, and clip-art.",PSI
Politics,"Websites of politicians, political parties, news and information on politics, elections, democracy, and voting.",POL
Pornography,"Sexually explicit text or depictions. Includes explicit anime and cartoons, general explicit depictions, other fetish material, explicit chat rooms, sex simulators, strip poker, adult movies, lewd art, web-based explicit email.",PORN
Private IP Addresses as Host,"Private IP addresses which are used as the host part of a URL. Private IP addresses are meant for internal use behind border routers only, so they are not publicly routable.",PIPH
Professional Networking,Social networking for the purpose of career or professional development. See also Social Networking.,PRONET
Real Estate,"Information that would support the search for real estate, office and commercial space, real estate listings, such as rentals, apartments, and homes, house building.",RE
Recipes and Food,"Sites dedicated to sharing or discussing information about cooking, recipes, and food or non-alcoholic beverages; cultural aspects of cuisine and food; diet descriptions and adherence tips, general nutrition information about foods. Use and instruction on cooking appliances and utensils. Food celebrity, lifestyle, and enthusiast blogs.",RCPFD
Reference,"City and state guides, maps, time, reference sources, dictionaries, libraries.",REF
Regional Restricted Law (Germany),URLs that are restricted in Germany due to content which may be unlawful as determined by the regional government.,RRLDE
Regional Restricted Law (Great Britain),URLs that are restricted in Great Britain due to content which may be unlawful as determined by the regional government.,RRLGB
Regional Restricted Law (Italy),URLs that are restricted in Italy due to content which may be unlawful as determined by the regional government.,RRLIT
Regional Restricted Law (Poland),URLs that are restricted in Poland due to content which may be unlawful as determined by the regional government.,RRLPL
Religion,"Religious content, information about religions, religious communities.",REL
SaaS and B2B,Web portals for online business services.,SAASB2B
Safe for Kids,"Directed at, and specifically approved for, young children.",SFK
Science and Technology,"Science and technology, such as aerospace, electronics, engineering, mathematics, and other similar subjects, space exploration, meteorology, geography, energy (fossil, nuclear, renewable), communications (telephones, telecommunications).",SCITEC
Search Engines and Portals,Search engines and other initial points of access to information on the Internet.,SEP
Sex Education,"Factual websites dealing with sex, sexual health, contraception, pregnancy.",SEXED
Shopping,"Bartering, online purchasing, coupons and free offers, general office supplies, online catalogs, online malls.",SHOP
Social Networking,Social networking. See also Professional Networking.,SOCNET
Social Science,"Sciences and history related to society, archaeology, anthropology, cultural studies, history, linguistics, geography, philosophy, psychology, women's studies.",SOCSCI
Society and Culture,"Family and relationships, ethnicity, social organizations, genealogy, seniors, child-care.",SOCCUL
Software Updates,Websites that host updates for software packages.,SWUPD
Sports and Recreation,"All sports, professional and amateur, recreational activities, fishing, fantasy sports, public parks, amusement parks, water parks, theme parks, spas.",SPTREC
Streaming Audio,Real-time streaming audio content including Internet radio and audio feeds.,STRAUD
Streaming Video,"Real-time streaming video including Internet television, web casts, and video sharing.",STRVID
Terrorism and Violent Extremism,"Terrorist or extremist websites that promote death or violence as part of their ideology. Sites may contain graphic or disturbing images, videos, and text. Some sites may not advocate terrorism but share first-hand material of a violent nature.",TVE
Tobacco,"Pro-tobacco websites, tobacco manufacturers, pipes and smoking products (not marketed for illegal drug use). Tobacco addiction is classified as Health and Medicine.",TOB
Transportation,"Personal transportation, information about cars and motorcycles, shopping for new and used cars and motorcycles, car clubs, boats, airplanes, recreational vehicles (RVs), and other similar items. Note, car and motorcycle racing is classified as Sports and Recreation.",TRANS
Travel,"Business and personal travel, travel information, travel resources, travel agents, vacation packages, cruises, lodging and accommodation, travel transportation, flight booking, airfares, car rental, vacation homes.",TRVL
Uncategorized,"Any site (domain, URL, or IP address) that has not been categorized and does not match a security or content category. Cisco Talos does not categorize IP addresses as content, only domains and URLs; IP addresses found to be malicious are placed into a relevant security category. If a URL does not resolve to a content category, Umbrella looks for the URL's domain category; if the domain is not categorized, Umbrella treats the URL as uncategorized.",UNCAT
URL Shortener,"Domains used to shorten long URLs, brand URLs, or may obscure the final destination of a hyperlink.",URLSH
Weapons,"Information relating to the purchase or use of conventional weapons such as gun sellers, gun auctions, gun classified ads, gun accessories, gun shows, and gun training, general information about guns; other weapons may be included. Government military websites are classified as Military.",WPN
Web Cache and Archives,Cached or archived web content often stored for preservation or to decrease load times.,WCA
Web Hosting,"Website hosting, bandwidth services.",WEBHOST
Web Page Translation,Translation of web pages between languages.,WPT
Web-based Email,Public web-based email services. Websites enabling individuals to access their company or organizations email service are classified as Organizational Email.,WBEM
